City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
364,Trinidad,BO,81.12,light rain,-14.8333,-64.9,Hotel Piesta
365,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
366,Hambantota,LK,77.94,overcast clouds,6.1241,81.1185,Bungalow 63
368,Huntington,US,55.11,clear sky,38.4193,-82.4452,Ramada Limited Huntington
370,Lagoa,PT,63.63,broken clouds,39.05,-27.9833,Casa Das Faias
372,Bafq,IR,59.05,clear sky,31.6128,55.4107,Alamdar Hotel
373,Port Macquarie,AU,71.49,light rain,-31.4333,152.9167,Rydges Port Macquarie
374,Jalu,LY,69.35,clear sky,29.0331,21.5482,صاحبة الفخامة
376,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
377,Mogadishu,SO,80.78,scattered clouds,2.0371,45.3438,Hotel Juba
378,Srandakan,ID,78.13,light rain,-7.9386,110.2506,Puri Brata
380,Laguna,US,66.42,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
381,Kondoa,TZ,70.54,broken clouds,-4.9,35.7833,Kinyuma Lodge
382,Grand-Santi,GF,83.37,light rain,4.25,-54.3833,Hotel La Villa Couacou
385,Nishihara,JP,61.88,broken clouds,26.1842,127.7558,Minshuku Agaihama
386,Avera,US,60.31,clear sky,33.194,-82.5271,
390,Puerto Penasco,MX,72.91,overcast clouds,31.3167,-113.5333,Playa Bonita Resort
391,Agua Dulce,MX,78.58,few clouds,18.1333,-94.1333,Hotel Victoria
392,Camopi,GF,79.14,overcast clouds,3.1655,-52.3158,La pousada
393,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
394,Ahipara,NZ,61.59,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
395,Karacakoy,TR,51.84,overcast clouds,41.4029,28.3834,
397,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
399,Eureka,US,59.2,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
401,Vao,NC,75.02,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
402,Tautira,PF,86.02,scattered clouds,-17.7333,-149.15,Pension Oaoa
407,La Palma,US,78.71,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
408,Miri,MY,77.4,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
409,Santiago Del Estero,AR,88.97,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
411,Fare,PF,80.73,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
412,Wajima,JP,54.12,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
413,Bedesa,ET,62.28,broken clouds,8.9,40.7833,
414,Saint-Georges,GD,81.79,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
420,Mangla,PK,62.35,clear sky,31.8931,72.3817,Rana Tariq Aziz House
430,Kibaya,TZ,67.3,broken clouds,-5.3,36.5667,Lusaka Hotel
431,Beloha,MG,68.68,overcast clouds,-25.1667,45.05,
432,Betafo,MG,65.5,light rain,-19.8333,46.85,CHEZ MALALA
435,Faya,SA,55.92,few clouds,18.3851,42.4509,املاك خالد الشعشوع
436,Abu Kamal,SY,61.56,scattered clouds,34.4506,40.9171,محطة التلفاز
437,Andros Town,BS,73.36,overcast clouds,24.7,-77.7667,Hanks place
438,Tezu,IN,61.57,few clouds,27.9167,96.1667,Circuit House
441,Itarema,BR,83.57,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
442,Kundiawa,PG,58.8,overcast clouds,-6.0167,144.9667,Pari
443,Ugoofaaru,MV,78.28,moderate rain,5.6667,73.0,Ungoofaaru Inn
445,Dunedin,NZ,58.44,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
447,Comodoro Rivadavia,AR,62.46,few clouds,-45.8667,-67.5,Austral Hotel
450,Ambulu,ID,75.79,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
451,Broken Hill,AU,64.42,light rain,-31.95,141.4333,Royal Exchange Hotel
452,La Primavera,CO,75.58,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
453,Roura,GF,84.11,few clouds,4.7263,-52.3274,Amazonie Découverte SARL
457,Madang,PG,76.19,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
458,Tawau,MY,77.74,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
459,Quatre Cocos,MU,76.08,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
460,Tolaga Bay,NZ,58.95,scattered clouds,-38.3667,178.3,Tolaga Bay Motel
463,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
464,Ilhabela,BR,74.8,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
466,Carutapera,BR,83.97,scattered clouds,-1.195,-46.02,Lidera
473,Maneromango,TZ,70.92,few clouds,-7.1988,38.7848,
474,Gat,IL,63.81,overcast clouds,31.61,34.7642,OlusHome
477,Taitung,TW,68.97,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
479,Ipojuca,BR,84.11,clear sky,-8.3989,-35.0639,Temporada Condomínio Reserva Ipojuca
481,Luorong,CN,53.85,overcast clouds,24.4058,109.6086,荣立大酒店
482,Minas,UY,86.47,clear sky,-34.3759,-55.2377,Hotel Minas
483,Lata,PT,54.01,clear sky,40.1629,-8.3327,Casa Maquia
484,Ca Mau,VN,75.65,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
485,Ulladulla,AU,68.77,overcast clouds,-35.35,150.4667,Sandpiper Motel
486,Pacific Grove,US,68.58,clear sky,36.6177,-121.9166,Lovers Point Inn
489,Saint-Leu,RE,76.06,clear sky,-21.15,55.2833,La Caz Oceane
490,Port Blair,IN,81.18,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
491,Lazaro Cardenas,MX,83.93,clear sky,17.9583,-102.2,quinta antigua
495,Gamba,GA,76.1,overcast clouds,-2.65,10.0,
498,Maryville,US,58.68,broken clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
500,Padang,ID,78.06,overcast clouds,-0.9492,100.3543,Mercure Padang
501,Umm Kaddadah,SD,69.42,clear sky,13.6017,26.6876,
503,Vila Franca Do Campo,PT,65.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
504,Christchurch,NZ,66.02,overcast clouds,-43.5333,172.6333,The George
510,Inhambane,MZ,71.02,clear sky,-23.865,35.3833,Oceano
511,Praia Da Vitoria,PT,64.65,broken clouds,38.7333,-27.0667,Hotel Branco I
513,Kavali,IN,78.64,light rain,14.9167,79.9833,Hotel Mourya Paradise
516,Road Town,VG,84.29,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
